taxon	min_age	max_age
Acanthophoenix_rousselii	0	0
Acoelorrhaphe_wrightii	0	0
Acrocomia_aculeata	0	0
Actinorhytis_calapparia	0	0
Adonidia_merrillii	0	0
Aiphanes_eggersii	0	0
Allagoptera_caudescens	0	0
Ammandra_decasperma	0	0
Aphandra_natalia	0	0
Archontophoenix_alexandrae	0	0
Areca_catechu	0	0
Arenga_undulatifolia	0	0
Asterogyne_martiana	0	0
Astrocaryum_alatum	0	0
Attalea_butyracea	0	0
Bactris_panamensis	0	0
Balaka_longirostris	0	0
Barcella_odora	0	0
Basselinia_moorei	0	0
Beccariophoenix_fenestralis	0	0
Bentinckia_condapanna	0	0
Bismarckia_nobilis	0	0
Borassodendron_borneense	0	0
Borassus_flabellifer	0	0
Brahea_edulis	0	0
Brassiophoenix_schumannii	0	0
Burretiokentia_vieillardii	0	0
Butia_capitata	0	0
Calamus_calospathus	0	0
Calyptrocalyx_awa	0	0
Calyptrogyne_tutensis	0	0
Calyptronoma_plumeriana	0	0
Campecarpus_fulcitus	0	0
Carpentaria_acuminata	0	0
Carpoxylon_macrospermum	0	0
Caryota_rumphiana	0	0
Ceroxylon_quindiuense	0	0
Chamaedorea_alternans	0	0
Chamaerops_humilis	0	0
Chambeyronia_macrocarpa	0	0
Chelyocarpus_chuco	0	0
Chrysalidocarpus_tanalensis	0	0
Chuniophoenix_nana	0	0
Clinosperma_vaginata	0	0
Clinostigma_ponapense	0	0
Coccothrinax_argentata	0	0
Cocos_nucifera	0	0
Colpothrinax_aphanopetala	0	0
Copernicia_prunifera	0	0
Corypha_umbraculifera	0	0
Cryosophila_bartlettii	0	0
Cyphokentia_cerifera	0	0
Cyphophoenix_elegans	0	0
Cyphosperma_tanga	0	0
Cyrtostachys_renda	0	0
Deckenia_nobilis	0	0
Desmoncus_orthacanthos	0	0
Dictyocaryum_lamarckianum	0	0
Dictyosperma_album	0	0
Dransfieldia_micrantha	0	0
Drymophloeus_litigiosus	0	0
Dypsis_procumbens	0	0
Elaeis_oleifera	0	0
Eleiodoxa_conferta	0	0
Eremospatha_cuspidata	0	0
Eugeissona_tristis	0	0
Euterpe_edulis	0	0
Gaussia_maya	0	0
Genus_species4	0	0
Genus_species7	0	0
Genus_species8	0	0
Geonoma_monospatha	0	0
Guihaia_argyrata	0	0
Hedyscepe_canterburyana	0	0
Hemithrinax_ekmaniana	0	0
Heterospathe_longipes	0	0
Howea_forsteriana	0	0
Hydriastele_wendlandiana	0	0
Hyophorbe_lagenicaulis	0	0
Hyospathe_elegans	0	0
Hyphaene_coriacea	0	0
Iguanura_wallichiana	0	0
Iriartea_deltoidea	0	0
Iriartella_setigera	0	0
Itaya_amicorum	0	0
Jailoloa_halmaherensis	0	0
Johannesteijsmannia_altifrons	0	0
Juania_australis	0	0
Jubaea_chilensis	0	0
Jubaeopsis_caffra	0	0
Kerriodoxa_elegans	0	0
Korthalsia_echinometra	0	0
Laccospadix_australasicus	0	0
Laccosperma_opacum	0	0
Lanonia_gracilis	0	0
Latania_loddigesii	0	0
Lemurophoenix_laevis	0	0
Leopoldinia_pulchra	0	0
Lepidocaryum_tenue	0	0
Lepidorrhachis_mooreana	0	0
Leucothrinax_morrisii	0	0
Licuala_telifera	0	0
Linospadix_palmerianus	0	0
Livistona_australis	0	0
Lodoicea_maldivica	0	0
Loxococcus_rupicola	0	0
Manicaria_saccifera	0	0
Manjekia_maturbongsii	0	0
Marojejya_darianii	0	0
Masoala_kona	0	0
Mauritia_flexuosa	0	0
Mauritiella_armata	0	0
Maxburretia_furtadoana	0	0
Medemia_argun	0	0
Metroxylon_sagu	0	0
Myrialepis_paradoxa	0	0
Nannorrhops_ritchieana	0	0
Nenga_grandiflora	0	0
Neonicholsonia_watsonii	0	0
Neoveitchia_storckii	0	0
Nephrosperma_van_houtteanum	0	0
Normanbya_normanbyi	0	0
Nypa_fruticans	0	0
Oenocarpus_minor	0	0
Oncocalamus_tuleyi	0	0
Oncosperma_tigillarium	0	0
Orania_ravaka	0	0
Oraniopsis_appendiculata	0	0
Parajubaea_torallyi	0	0
Pelagodoxa_mesocarpa	0	0
Phoenicophorium_borsigianum	0	0
Phoenix_reclinata	0	0
Pholidocarpus_macrocarpus	0	0
Pholidostachys_dactyloides	0	0
Physokentia_insolita	0	0
Phytelephas_aequatorialis	0	0
Pigafetta_filaris	0	0
Pinanga_rupestris	0	0
Plectocomia_mulleri	0	0
Plectocomiopsis_geminiflora	0	0
Podococcus_barteri	0	0
Ponapea_hentyi	0	0
Prestoea_ensiformis	0	0
Pritchardia_arecina	0	0
Pseudophoenix_vinifera	0	0
Ptychococcus_lepidotus	0	0
Ptychosperma_buabe	0	0
Raphia_farinifera	0	0
Ravenea_albicans	0	0
Reinhardtia_paiewonskiana	0	0
Rhapidophyllum_hystrix	0	0
Rhapis_subtilis	0	0
Rhopaloblaste_ledermanniana	0	0
Rhopalostylis_baueri	0	0
Roscheria_melanochaetes	0	0
Roystonea_regia	0	0
Sabal_bermudana	0	0
Sabinaria_magnifica	0	0
Salacca_bakeriana	0	0
Saribus_papuanus	0	0
Satakentia_liukiuensis	0	0
Satranala_decussilvae	0	0
Schippia_concolor	0	0
Sclerosperma_mannii	0	0
Serenoa_repens	0	0
Socratea_exorrhiza	0	0
Sommieria_leucophylla	0	0
Syagrus_cearensis	0	0
Synechanthus_warscewiczianus	0	0
Tahina_spectabilis	0	0
Tectiphiala_ferox	0	0
Thrinax_radiata	0	0
Trachycarpus_fortunei	0	0
Trithrinax_brasiliensis	0	0
Veillonia_alba	0	0
Veitchia_winin	0	0
Verschaffeltia_splendida	0	0
Voanioala_gerardii	0	0
Vonitra_vonitrandambo	0	0
Wallaceodoxa_raja_ampat	0	0
Washingtonia_filifera	0	0
Welfia_georgii	0	0
Wendlandiella_gracilis	0	0
Wettinia_aequalis	0	0
Wodyetia_bifurcata	0	0
Zombia_antillarum	0	0
R133__Retiminocolpites_perforatus	56	63
R134__Clavapalmaedites_clavatus	56	63
R135__Racemonocolpites_hians	47.8	56
R136__Racemonocolpites_hians	37.71	47.8
R137__Monocolpopollenites_canalensis	18	19
R140__Cf_Cocos_sp	56	61.6
R141__Palmocarpon_drypeteoides	64	67
R142__Palmapollenites_scheeleaensis	11	12
R143__Foveomonocolpites_panamensis	18	19
R144__Psilamonocolpites_amazonicus	3	4
R145_1__Palmapollenites_microperforatus	9	10
R145_2__Psilamonocolpites_rinconii	9	10
R146__Palmapollenites_iriartoides	11	12
R147__Retimonocolpites_heteroretifossulatus	19	20
R148_149__Sclerosperma_protomannii_S_protoprofizianum	27	28
R150__Sclerosperma_sp	5.333	11.63
R152__Dicolpopollis_bungonensis	33.9	56
R153__Dicolpopollis_sp	47.8	56
R154__Dicolpopollis_sp	53.6	56
R155__Dicolpopollis_malesianus	66	72.1
R160__Dicolpopollis_spp	56	66
R161__Dicolpopollis_spp	5.333	23.03
R162__Dicolpopollis_spp	23.03	33.9
R163__Dicolpopollis_spp	33.9	56
R164__Dicolpopollis_spp	47.8	56
R165__Dicolpopollis_spp	5.333	23.03
R166__Dicolpopollis_spp	23.03	33.9
R167__Dicolpopollis_spp	11.63	23.03
R168__Dicolpopollis_spp	15.98	23.03
R169__Dicolpopollis_spp	33.9	56
R170__Dicolpopollis_spp	56	63
R173__Calamus_deeratus_C_sp	2.58	5.333
R174__Dicolpopollis_spp_Calamus_spp	56	66
R175__Dicolpopollis_spp_Calamus_spp	56	63
R176__Dicolpopollis_spp_Calamus_spp	56	66
R177__Dicolpopollis_spp	56	66
R178__Dicolpopollis_spp_Calamus_spp	56	66
R179__Dicolopollis_verrucatus	23.03	33.9
R180__Paravuripollis_mulleri	5.333	23.03
R181__Paravuripollis_mulleri	23.03	33.9
R182__Acanthodiporites_spinatus	54	56
R183_1__Dicolpopollis_spp_D_cenomanicus	93.9	100.5
R183_2__Dicolpopollis_novaguineensis	93.9	100.5
R184_186__Dicolpopollis_metroxylonoides	5.333	11.63
R185__Dicolpopollis_metroxylonoides	5.333	23.03
R187__Dicolpopollis_malesianus	11.63	23.03
R190__Quilonipollenites_spp_Q_reticulatus	33.9	56
R191__Quilonipollenites_sahnii	5.333	23.03
R192__Quilonipollenites_reticulatus	54	63
R193__Quilonipollenites_spp_Q_reticulatus	11.63	23.03
R194__Quilonipollenites_spp_Q_reticulatus	15.98	23.03
R195__Longapertites_spp	66	72.1
R196__Longapertites_spp	33.9	56
R197__Longapertites_spp_Quilonipollenites_spp	56	66
R198__Quilonipollenites_spp_Eugeissona_spp_Longapertites_spp	33.9	56
R199__Longapertites_spp	56	66
R200__Longapertites_spp	5.333	23.03
R201__Longapertites_vaneendenburgi	56	66
R202__Longapertites_spp	56	66
R203__Longapertites_spp	33.9	56
R205__Eremospatha_chilgaensis	27	28
R206__Mauritiidites_crassibaculatus_M_crassiexinus_M_spp	66	83.6
R207__Grimsdalea_spp_Mauritiidites_crassibaculatus_M_lehmanii_M_crassiexinus_M_franciscoi	66	72.1
R210__Echimonocolpites_panamensis	9	10
R211__Mauritiidites_spp	56	66
R212__Mauritiidites_sp	37.71	66
R213__Mauritiidites_franciscoi_var_franciscoi	10	11
R214__Mauritiidites_spp_M_crassibaculatus_M_fransicoi_var_minutus 	56	63
R215__Mauritiidites_sp	33.9	56
R216__Mauritiidites_franciscoi	33.9	56
R217__Mauritiidites_crassiexinus	37.71	56
R220__Mauritia_spp	0.0117	2.58
R221__Mauritia_spp	2.58	23.03
R222__Palmapollenites_phytelephensis	9	10
R263__Hyphaeneocarpon_indicum	64	67
R264__Hyphaene_kappelmanii	27	28
R266__Arengapollenites_achinatus	56	66
R267__Arengapollenites_gracilis	23.03	33.9
R269__Longapertites_foveolatus	19	20
R270__Retimonocolpites_palmatus	10	11
R271__Phoenicites_occidentalis	27.82	37.71
R272__Phoenix_hercynica	37.71	47.8
R273__Phoenix_sp	0.0117	2.58
R274_1__Sabal_bigbendense	72.1	83.6
R275__Sabal_bracknellense	37.71	47.8
R277__Coryphoides_poulseni	62	64
R278__Cf_Chamaerops_humilis	0.0117	2.58
R279__Palmoxylon_homeochamaerops	15.98	23.03
R281__Cf_Nypa_sp	15.98	33.9
R282__Nipadites_sp	47.8	56
R283__Nypa_pernambucensis	56	66
R284__Nypa_burtini	61.6	66
R285__Nypa_burtini	33.9	56
R288__Nypa_sp	64	67
R289_1__Nypa_sp	47.8	56
R289_2__Nypa_sp	37.71	47.8
R290__Nypa_burtini	33.9	56
R291__Nypa_sp	33.9	56
R292__Nypa_sp	56	61.6
R293__Nipadites_borneensis	33.9	56
R295__Spinizonocolpites_spp	72.1	83.6
R296__Spinizonocolpites_spp_Nypa_sp	66	83.6
R297__Spinizonocolpites_spp_Nypa_sp	66	89.8
R298__Spinizonocolpites_spp_Nypa_sp	66	89.8
R299__Spinizonocolpites_spp_Nypa_sp	56	66
R300__Spinizonocolpites_spp	66	72.1
R301__Spinizonocolpites_spp	56	66
R302__Spinizonocolpites_echinatus_S_baculatus	37.71	47.8
R304__Racemonocolpites_hians	33.9	37.71
R306__Mauritiella_sp	0.0117	2.58
R312__Grimsdalea_magnaclavata_G_sp	5.333	23.03
R313__Grimsdalea_magnaclavata	5.333	23.03
R314__Mauritiella_sp	0.0117	2.58
